GaiaDR3;Cluster;Pmemb;Note;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Gmag;BPmag;RPmag;Gmagcor;(G-RP)cor;_RA.icrs;_DE.icrs
 389180288208174080; NGC_752; 1.00;  N;008.9352;+46.3966; 8.310; 0.068;-13.042; 0.056; 2.321; 0.076;17.313;18.535;16.229;17.214; 1.059;008.9351;+46.3967
 387660763136375936; NGC_752; 0.94;  N;009.5233;+43.7326;10.529; 0.019;-11.661; 0.019; 2.476; 0.026;14.030;14.523;13.379;13.930; 0.625;009.5232;+43.7327
 387839601279087616; NGC_752; 1.00;  N;009.5752;+44.3265; 9.891; 0.089;-11.157; 0.087; 2.272; 0.092;17.392;18.482;16.333;17.293; 1.033;009.5751;+44.3265
2809551310490174208; NGC_752; 1.00;  N;010.0315;+27.4590; 9.869; 0.020;-11.911; 0.014; 2.365; 0.018;13.518;13.942;12.929;13.458; 0.574;010.0315;+27.4591
 365619502073764480; NGC_752; 0.70;  N;010.3273;+35.9378;10.023; 0.045;-12.271; 0.034; 2.356; 0.049;16.263;17.175;15.323;16.199; 0.924;010.3272;+35.9379
 381278544820660608; NGC_752; 0.99;  N;010.4747;+41.4047; 9.674; 0.161;-11.476; 0.129; 2.270; 0.156;17.965;19.343;16.809;17.901; 1.139;010.4746;+41.4048
2806515357023237760; NGC_752; 0.74;  N;010.9202;+24.8901;10.181; 0.027;-11.433; 0.020; 2.201; 0.027; 7.799; 8.391; 7.063; 7.656; 0.700;010.9201;+24.8902
2808439845969028736; NGC_752; 1.00;  N;010.9716;+26.2805; 9.673; 0.018;-12.320; 0.013; 2.182; 0.017;13.522;13.907;12.971;13.380; 0.515;010.9716;+26.2806
 381295484174392960; NGC_752; 0.89;  N;011.0163;+41.5708; 9.592; 0.013;-11.056; 0.015; 2.305; 0.020; 8.732; 9.262; 8.047; 8.668; 0.669;011.0162;+41.5708
 368844747635229440; NGC_752; 0.71;  N;011.2320;+39.7116;10.805; 0.113;-12.010; 0.102; 2.393; 0.124;17.852;19.229;16.734;17.788; 1.102;011.2319;+39.7117
 361243789392155776; NGC_752; 0.95;  N;011.7880;+32.9801;11.273; 0.137;-11.486; 0.094; 2.377; 0.153;17.981;19.161;16.888;17.991; 1.096;011.7879;+32.9802
 375237381254742912; NGC_752; 0.89;  N;011.8739;+41.5817;10.413; 0.091;-10.979; 0.077; 2.289; 0.096;17.527;18.793;16.447;17.463; 1.063;011.8738;+41.5817
 368983462194174592; NGC_752; 1.00;  N;011.9044;+40.3860;10.088; 0.013;-11.654; 0.010; 2.216; 0.015;12.318;12.655;11.817;12.254; 0.484;011.9043;+40.3861
 360858586660612352; NGC_752; 0.87;  N;012.6952;+31.6801; 9.433; 0.024;-12.387; 0.017; 2.236; 0.025;14.751;15.349;14.015;14.761; 0.739;012.6952;+31.6802
 374163051018288768; NGC_752; 0.52;  N;013.2034;+40.2270;10.909; 0.013;-10.830; 0.010; 2.419; 0.015; 9.853;10.075; 9.475; 9.789; 0.361;013.2033;+40.2270
 364657223240299776; NGC_752; 0.84;  N;013.9470;+37.3975; 9.189; 0.082;-12.064; 0.049; 2.194; 0.094;17.102;18.153;16.082;17.002; 0.994;013.9469;+37.3976
 374069081429552512; NGC_752; 1.00;  N;014.4722;+40.6805;10.365; 0.025;-11.497; 0.018; 2.457; 0.025;14.550;15.109;13.836;14.486; 0.698;014.4721;+40.6806
 307736163400709120; NGC_752; 1.00;  N;014.5149;+27.2650; 9.845; 0.022;-11.899; 0.018; 2.161; 0.019;13.722;14.124;13.152;13.716; 0.568;014.5149;+27.2651
 363401928854323072; NGC_752; 1.00;  N;014.6093;+35.1728;10.863; 0.034;-11.842; 0.029; 2.336; 0.043;15.751;16.568;14.866;15.692; 0.870;014.6092;+35.1729
2805333725620748160; NGC_752; 1.00;  N;014.8846;+25.5792; 9.409; 0.053;-12.219; 0.041; 2.282; 0.057;16.022;16.919;15.094;16.017; 0.927;014.8846;+25.5793
 374660721764799232; NGC_752; 1.00;  N;014.9305;+41.5835; 8.711; 0.016;-13.046; 0.010; 2.254; 0.015; 8.879; 9.527; 8.110; 8.815; 0.752;014.9304;+41.5836
 370686330827642624; NGC_752; 0.98;  N;015.9249;+38.9536;10.929; 0.013;-11.101; 0.011; 2.352; 0.016;12.478;12.777;12.019;12.379; 0.434;015.9248;+38.9536
 371425340081112704; NGC_752; 0.71;  N;016.6579;+40.5354;11.047; 0.084;-11.280; 0.070; 2.457; 0.101;17.260;18.445;16.185;17.161; 1.050;016.6578;+40.5354
 369797891072741248; NGC_752; 1.00;  N;016.6746;+37.8334;10.079; 0.016;-11.447; 0.016; 2.212; 0.019;13.607;14.001;13.048;13.548; 0.544;016.6745;+37.8335
 371530309081240832; NGC_752; 0.58;  N;016.7234;+41.3205;10.334; 0.052;-11.999; 0.043; 2.435; 0.054;16.605;17.623;15.608;16.541; 0.981;016.7233;+41.3206
 370242918403900032; NGC_752; 0.96;  N;017.1372;+38.9591;11.272; 0.018;-11.012; 0.019; 2.350; 0.019;11.469;11.692;11.095;11.370; 0.349;017.1371;+38.9591
 373093986414525952; NGC_752; 0.78;  N;017.1757;+42.4643;10.047; 0.030;-11.065; 0.023; 2.148; 0.029;15.118;15.761;14.349;15.171; 0.783;017.1756;+42.4643
 314056667337751808; NGC_752; 1.00;  N;017.9748;+33.2539;10.257; 0.120;-11.933; 0.092; 2.375; 0.113;17.587;18.960;16.457;17.646; 1.145;017.9747;+33.2540
 397824472528706432; NGC_752; 0.51;  N;018.3007;+45.1772;10.487; 0.107;-11.517; 0.110; 2.216; 0.114;17.775;19.008;16.679;17.827; 1.110;018.3006;+45.1773
 370392726863343744; NGC_752; 0.96;  N;018.3039;+39.7080; 9.593; 0.032;-11.511; 0.032; 2.099; 0.034;15.578;16.269;14.772;15.687; 0.834;018.3038;+39.7081
 370388672414231552; NGC_752; 0.94;  N;018.4236;+39.6188; 9.172; 0.022;-12.749; 0.024; 2.257; 0.025;14.565;15.136;13.849;14.674; 0.744;018.4235;+39.6189
 313813984506384128; NGC_752; 1.00;  N;018.9292;+32.9338; 9.254; 0.090;-12.136; 0.074; 2.257; 0.086;17.231;18.455;16.086;17.290; 1.161;018.9292;+32.9339
 372870648115425408; NGC_752; 0.94;  N;019.2143;+41.8797; 9.372; 0.101;-12.103; 0.088; 2.184; 0.092;17.479;18.604;16.430;17.531; 1.062;019.2142;+41.8798
